Dataset,Model,Accuracy (%),Precision,Recall,F1-Score,ROC-AUC,FPR,FNR,Training Time (s),Inference Time (ms/10k),TP,TN,FP,FN
CIC-IDS-2017,KNN,99.04022226431773,0.979908829984805,0.9943464108274799,0.9870748299319728,0.9969696847695735,0.0119,0.00565358917252013,0.0060961246490478516,13.479124967547733,5804.0,9881.0,119.0,33.0
CIC-IDS-2017,Decision Tree,99.47591084169983,0.9928057553956835,0.9929758437553537,0.9928907922912206,0.9943879218776769,0.0042,0.007024156244646223,1.4658613204956055,0.0025728190420191343,5796.0,9958.0,42.0,41.0
CIC-IDS-2017,Random Forest,99.57694007703479,0.9941760877012675,0.9943464108274799,0.9942612419700214,0.9995034778139456,0.0034,0.00565358917252013,11.739358901977539,0.23842098782623614,5804.0,9966.0,34.0,33.0
CIC-IDS-2017,Naive Bayes,66.66666666666666,0.6021978021978022,0.28165153332191195,0.3837982957861562,0.831452595511393,0.1086,0.718348466678088,0.05700802803039551,0.008474194492408256,1644.0,8914.0,1086.0,4193.0
CIC-IDS-2017,Logistic Regression,90.49062322409547,0.8231607222802567,0.9450059962309405,0.8798851491465943,0.9511676203529209,0.1185,0.05499400376905945,3.621742010116577,0.002736010138657446,5516.0,8815.0,1185.0,321.0
CIC-IDS-2017,SVM,93.59727221064595,0.8846706013718296,0.9501456227514133,0.9162398810507186,0.9752686311461367,0.0723,0.0498543772485866,713.4821004867554,24.70934053047548,5546.0,9277.0,723.0,291.0
CIC-IDS-2017,XGBoost,98.68030561343689,0.971356783919598,0.993489806407401,0.9822986364021343,0.998644329278739,0.0171,0.006510193592598938,0.8183937072753906,0.02257577200358042,5799.0,9829.0,171.0,38.0
CIC-IDS-2017,Ensemble (Weighted),99.55799709540949,0.9926533401674354,0.9953743361315744,0.9940119760479041,0.999587330820627,0.0043,0.004625663868425561,14.56303334236145,12.596551687148226,5810.0,9957.0,43.0,27.0
UNSW-NB15,KNN,99.9,0.998202875399361,0.9998,0.9990007993605116,0.9998489700000001,0.0018,0.0002,0.00589442253112793,13.241611361503603,9998.0,9982.0,18.0,2.0
UNSW-NB15,Decision Tree,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2640862464904785,0.002326369285583496,10000.0,10000.0,0.0,0.0
UNSW-NB15,Random Forest,100.0,1.0,1.0,1.0,1.0,0.0,0.0,7.215339422225952,0.08935976028442384,10000.0,10000.0,0.0,0.0
UNSW-NB15,Naive Bayes,99.33999999999999,0.9869719699960521,1.0,0.9934432743890323,0.9984,0.0132,0.0,0.04240918159484863,0.006954193115234375,10000.0,9868.0,132.0,0.0
UNSW-NB15,Logistic Regression,99.99,1.0,0.9998,0.9998999899989999,0.99999976,0.0,0.0002,1.6316685676574707,0.001558423042297363,9998.0,10000.0,0.0,2.0
UNSW-NB15,SVM,99.96000000000001,0.9993004197481511,0.9999,0.9996001199640108,0.9999992400000001,0.0007,0.0001,37.892672061920166,1.1161140203475952,9999.0,9993.0,7.0,1.0
UNSW-NB15,XGBoost,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5624465942382812,0.008483648300170898,10000.0,10000.0,0.0,0.0
UNSW-NB15,Ensemble (Weighted),100.0,1.0,1.0,1.0,1.0,0.0,0.0,10.239387273788452,12.214152455329895,10000.0,10000.0,0.0,0.0
CIC-IDS-2018,KNN,89.03002309468823,0.8965031382092994,0.85499633520645,0.8752579253423373,0.949197459076472,0.0808,0.14500366479354995,0.003816366195678711,13.452873205858056,6999.0,9192.0,808.0,1187.0
CIC-IDS-2018,Decision Tree,87.71032662487627,0.8615870701178758,0.8661128756413389,0.8638440450807189,0.8780929086244809,0.1139,0.13388712435866112,2.272975206375122,0.004393425394727572,7090.0,8861.0,1139.0,1096.0
CIC-IDS-2018,Random Forest,89.22247882986913,0.9049167533818938,0.8498656242365014,0.8765276552853724,0.9606347788907892,0.0731,0.15013437576349867,19.243247032165527,0.2516987535356492,6957.0,9269.0,731.0,1229.0
CIC-IDS-2018,Naive Bayes,71.08764984053668,0.6308077197998571,0.8624480820913755,0.7286613685622871,0.8304654226728561,0.4132,0.13755191790862448,0.04225516319274902,0.006422330008263138,7060.0,5868.0,4132.0,1126.0
CIC-IDS-2018,Logistic Regression,83.4378093038601,0.8177352001965119,0.8133398485218666,0.815531602155806,0.8967852064500368,0.1484,0.1866601514781334,2.30287504196167,0.0016734923359900172,6658.0,8516.0,1484.0,1528.0
CIC-IDS-2018,SVM,88.26569888925548,0.9284905126026621,0.80100171023699,0.8600472193074502,0.9260235096506231,0.0505,0.19899828976301,1474.5507304668427,41.88835050594842,6557.0,9495.0,505.0,1629.0
CIC-IDS-2018,XGBoost,90.69064115253491,0.9678628044386799,0.8204251160517958,0.8880661157024793,0.9614707366235035,0.0223,0.17957488394820426,0.8149204254150391,0.02352433355153754,6716.0,9777.0,223.0,1470.0
CIC-IDS-2018,Ensemble (Weighted),90.41570438799076,0.9486143991087592,0.8321524554116785,0.8865751285221579,0.9648278463229905,0.0369,0.16784754458832152,22.245479345321655,12.598043094829247,6812.0,9631.0,369.0,1374.0
